Total Revenue,Total Cost
2408445.08,1811154.16
2153286.8,1344707.7
2045322.72,1768017.12
3048155.25,2634885.25
406257.5,231292.25
1072444.38,927041.98
2939051.46,2210170.92
32745.23,24624.46
1762353.2,1061483.23
3458689.2,2083203.63
49337.04,36592.96
2969462.4,1788537.36
783241.04,462288.12
1518261.3,896115.15
1843575.51,1486161.76
1209295.2,728370.78
36369.85,25218.15
941217.36,587781.54
1523180.19,1227881.44
155778.35,104366.57
50643.24,37561.76
385602.14,267369.06
5942291.25,4790260
298804.88,207185.52
436846.85,302901.15
3611709.2,2175369.13
694868.46,481808.34
5989178.37,4828057.12
840563.22,536796.96
1980685.3,1127652.19
890620.86,525666.33
3488369.4,2623258.8
253422.4,144279.52
1744093.26,1507628.46
4194062.52,3153941.04
2968418.04,2565958.84
639618.98,443499.42
579383.97,401733.63
251390.1,168423.42
4353637.6,2622240.14
49446.65,34285.35
2543435.62,1912667.24
1257283.66,742079.73
441190.1,295583.42
3177904.8,2561804.8
1464462.84,935229.12
44929.28,28057.92
17556.5,11762.3
1226794.8,698444.04
6366880.17,5132533.92
62109.81,46066.44
1307045.04,771450.12
435116.5,291514.3
789184.88,547205.52
449238.96,265151.88
3778024.95,3265798.95
4288932,2583267.3
1918333.83,1658245.43
657065.9,387816.45
579792.62,402016.98
815874.88,509506.32
4118490.18,3560103.78
2538512.13,2194339.73
1253444.7,800469.6
3101441.07,2332288.14
67207.2,22041.6
1523204.8,917441.72
4967429.88,4004394.88
6159795.39,4965596.64
1020130.02,881820.42
834920.31,721721.51
273384.72,236319.12
456017.6,269152.8
73543.56,46966.08
4553591.78,3424307.56
1091007.54,943088.34
49940.96,16378.88
53338.4,32126.26
156727.35,105002.37
5701343.55,4596024.8
344676.8,230922.56
543422.77,376798.83
4399574.76,3546629.76
365087.91,253144.89
412482.85,276350.47
828072.5,488748.75
1049662.32,907348.72
46985.88,34849.12
11313.5,6441.05
1077919.51,810597.02
894934.54,528212.37
471745.56,327099.24
544648.72,377648.88
73982.56,24263.68
418393.8,238201.74
217467.2,71321.6
2560810.64,1925733.28
1201872.66,767534.88
1652682.72,1032085.08
2298030.56,1435098.84
2899228.08,2506149.68
3728004.4,2245414.91
684180.46,403820.13
1416064.13,1064882.26
168849.76,99659.28
1211485.2,773673.6
11653.17,8643.08
1015419.9,648463.2
1182597.36,953327.36
13313.91,9874.84
454597,258813.1
865606.88,283888.64
1109446.88,692839.32
1814548.89,1568531.69
125078.2,83798.44
822640.37,618626.74
1747488.4,1052530.01
88968.75,59606.25
2001650.48,1250012.22
207304.16,67988.48
56745.06,42087.44
773329.26,536211.54
256223.55,177660.45
806041.92,475745.76
3851255.94,3104613.44
259212.16,85012.48
584686.56,373390.08
2762113.83,2387625.43
417749.8,279879.16
3956826.67,2975539.34
1078896.5,614241.95
487704.84,421581.64
3179.15,2129.93
442813.14,307038.06
1132774.65,979192.65
357241.83,247704.57
3350037.51,2519233.02
4129240.33,3105194.66
640935.2,386041.78
384196.4,239927.1
5832236.76,4701541.76
1535883.6,925078.29
2910619.11,2515996.31
1200652.02,766755.36
1110464.48,655423.44
421354.1,248693.55
2872224.46,2159916.92
3702928.53,3200884.13
555360.96,182138.88
85434.81,63366.44
980788,321664
1962378,1117229.4
5272650.3,3965040.6
75489.03,55989.72
2729002.4,1643705.86
834917.76,533191.68
398264.16,344267.36
396308.77,274792.83
360455.36,225101.04
481458.08,300666.12
6224265.18,5017567.68
731014.7,431462.85
4133256.33,3572867.93
447173.76,146657.28
739084.39,512466.81
471624.78,301187.04
318389.5,213310.9
1140814.3,673336.65
725930.72,428462.16
800803.88,472654.14
4859980.23,3917776.48
338603.2,226853.44
1255011.06,943770.12
302778.45,202851.99
68752.77,50993.48
1311882.84,837789.12
1203756.4,685327.72
297531,190008
1163458.07,874922.14
3105431.6,1870432.99
159291.77,110449.83
4701736.2,3790211.2
898696.2,573921.6
74313.45,55117.8
2311535.31,1998136.51
819709.28,268835.84
1309586.4,817824.6
2839176.8,1710065.02
83322.2,55823.24
3544817.6,2135079.64
3107574.12,2505109.12
1233250.3,727894.65
56838.36,42156.64
663875.58,423961.44
56836,34232.9
853367.52,279874.56
310574,215346
73262.8,49083.76
4354447.32,3274550.64
186147.6,118876.8
83942.4,50559.36
546400,179200
438532.9,293803.18
2371021.96,1783011.92
5411.4,4013.6
19536.3,15748.8
557851.26,329257.53
45564.12,39386.52
57184.6,32556.58
18165.51,13473.24
1267465.2,791520.3
507625.03,351977.37
502360.16,164756.48
3948937.44,3183357.44
80116.71,59422.04
3134724,1888076.1
3733726.5,3227506.5
1582450.1,900927.23
4284122.8,2580370.67
1278389.88,754537.14
5579386.23,4195706.46
175474.31,121670.49
805109.8,458368.54
3194836.26,2575453.76
5475373.68,4413863.68
974606.6,554867.18
2730314,1644495.85
188632.84,130794.36
205838.1,137905.02
85129.12,27919.36
1405371.81,1056841.62
2542755.2,1531527.28
946208.13,762766.88
264865.9,177451.78
743322.56,243783.68
324402.4,195390.86
2213980.8,1333503.12
487388.8,159846.4
3777730.31,2840858.62
612416.72,382448.58
74565.04,44010.12
1774547.25,1430516
2653031.9,1995083.8
930738,594384
1322967.2,796836.58
2487230.8,1498084.37
335234.25,224596.35
1092015.06,697378.08
379647.45,254351.79
3788775.2,2282017.78
167067.5,125635
8229.06,6103.44
483827.48,363838.96
1063177.44,678961.92
1817976.6,1035018.18
398707.28,235326.84
992532.9,633847.2
2582540.4,1555490.31
3434606.49,2968941.29
70796.04,52508.96
277603.62,239966.02
517711.95,417343.2
886332.16,553506.24
11130.69,8255.56
403087.75,270056.05
329587.7,220813.34
6785.35,4545.97
3677615.13,3179002.73
820985.74,484565.97
1475601.18,942342.24
534126.02,315254.31
843016.32,497568.96
307096.4,205744.88
659993.04,389544.12
